input,output,appropriateness_score,self_contained_score,faithfulness_score,relevance_score,completeness_score,helpfulness_score,evaluation_justification
Answer,Flagged,1,1,2,1,1,1,"The AI-generated overview simply says 'Flagged' and provides no content or guidance. It does not contradict the FAQ, but it is neither relevant nor complete. It offers no helpful or substantive information."
You can close your fixed deposit by closing your OneCard.,FALSE,1,1,1,1,1,1,"The generated overview ('FALSE') contradicts the FAQ, offers no relevant information about closing a fixed deposit, and is neither complete nor helpful."
"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,1,1,1,1,1,1,"The response 'FALSE' does not match the FAQ content, does not address the original question about reinitiating card delivery, omits all relevant details, and therefore is unfaithful, irrelevant, incomplete, and unhelpful."
"Rest assured! If any amount is deducted from your card, expect a quick refund within 5-7 working days.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The EMI dashboard only displays eligible transactions. Make sure the transaction meets the criteria mentioned in the context to be visible in the EMI dashboard.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"It seems there might be a delay in settlement by the bank. We recommend contacting the customer support of the bank involved, providing them with the transaction ID of the debited repayment amount. They can assist you further regarding this matter.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"It can take up to 5 working days in case of domestic transactions and 7 working days in case of international transactions to get credited to the merchant. If the transaction fails or doesn't settle within the given time, the amount is automatically reversed and is not added to your bill. If the transaction has failed or not settled within the given time, you can click here to raise a ticket for assistance.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Rest assured! If any amount is deducted from your card, expect a quick refund within 5-7 working days.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Your rent payment transaction may be declined if you attempt to pay more than 30% of your credit limit as rent or if you've already made two rent payments within the current month.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, you can redeem your reward points against your OneCash installments, similar to how you can redeem them against your OneCard outstandings. Use your reward points to ease your repayments and make managing your finances a breeze!",FALSE,1,1,1,1,1,1,"The overview 'FALSE' blatantly contradicts the correct answer, offering no relevant or complete information and failing to address the user’s query accurately."
